output,input1,input2,input3
1,534,536,466
0,264,103,244
0,272,339,609
1,416,444,330
1,520,464,104
0,81,415,705
0,380,386,408
0,549,596,387
0,431,364,672
1,574,611,182
0,313,350,398
0,281,266,461
0,323,377,487
1,55,350,511
0,397,454,779
1,463,424,289
1,574,638,702
0,337,261,236
0,433,412,367
1,332,294,574
1,497,523,420
0,509,515,604
0,351,406,152
0,281,307,274
1,563,492,565
0,452,465,569
1,486,459,204
1,429,502,106
0,386,395,749
1,509,486,305
1,514,455,412
1,594,645,407
1,362,439,752
1,585,551,520
1,389,948,229
1,543,619,424
1,592,557,407
0,449,442,371
1,514,529,557
0,420,478,359
0,303,346,692
1,430,442,188
0,323,362,368
0,478,511,156
1,551,628,486
0,407,359,667
0,387,414,119
1,409,838,311
1,480,535,702
0,271,217,792
1,477,407,305
1,535,561,630
0,321,342,350
0,376,400,727
1,525,592,482
0,395,459,738
0,448,411,594
0,271,265,410
1,458,461,502
0,306,243,575
0,402,438,217
0,343,329,498
1,516,594,385
1,467,545,149
1,515,563,519
1,571,639,510
0,339,314,235
0,538,490,552
0,502,453,596
1,525,535,659
0,402,359,712
1,485,464,227
1,579,500,303
1,527,521,319
0,351,368,440
0,410,352,178
1,275,309,591
1,580,500,669
0,291,211,476
1,479,470,328
0,290,290,595
1,550,488,624
1,453,448,424
0,489,540,596
1,407,350,101
0,381,350,284
0,417,350,200
0,315,298,305
1,536,529,186
0,761,371,536
1,533,557,454
1,506,495,731
0,599,554,613
0,342,319,301
1,827,309,636
0,259,181,336
0,299,271,338
0,523,455,526
0,683,641,601
0,840,858,276
